Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
210,Pokemon_Mystery_Dungeon:_Explorers_of_Time/Explorers_of_Darkness,DS,2007,Role-Playing,Nintendo,1.85,1.2,1.54,0.37,4.96
211,Uncharted:_Drake's_Fortune,PS3,2007,Action,Sony_Computer_Entertainment,2.31,1.73,0.12,0.78,4.94
212,Madden_NFL_06,PS2,2005,Sports,Electronic_Arts,3.98,0.26,0.01,0.66,4.91
213,LEGO_Star_Wars:_The_Complete_Saga,DS,2007,Action,LucasArts,2.89,1.54,0,0.46,4.9
214,Diddy_Kong_Racing,N64,1997,Racing,Nintendo,2.91,0.99,0.89,0.1,4.88
215,Monster_Hunter_Freedom_3,PSP,2010,Role-Playing,Capcom,0,0,4.87,0,4.87
216,Dr._Mario,NES,1990,Puzzle,Nintendo,2.62,0.6,1.52,0.1,4.85
217,God_of_War_III,PS3,2010,Action,Sony_Computer_Entertainment,2.74,1.36,0.12,0.63,4.84
218,StarCraft_II:_Wings_of_Liberty,PC,2010,Strategy,Activision,2.56,1.68,0,0.59,4.83
219,Assassin's_Creed,PS3,2007,Adventure,Ubisoft,1.91,2,0.09,0.83,4.83
220,FIFA_15,PS3,2014,Sports,Electronic_Arts,0.57,3.14,0.04,1.07,4.82
221,Crash_Team_Racing,PS,1999,Racing,Sony_Computer_Entertainment,2.57,1.57,0.44,0.21,4.79
222,FIFA_17,PS4,2016,Sports,Electronic_Arts,0.28,3.75,0.06,0.69,4.77
223,Batman:_Arkham_City,X360,2011,Action,Warner_Bros._Interactive_Entertainment,2.99,1.31,0.04,0.41,4.76
224,Driver_2,PS,2000,Action,Atari,2.36,2.1,0.02,0.25,4.73
225,The_Simpsons:_Hit_&_Run,PS2,2003,Racing,Vivendi_Games,1.73,2.19,0,0.79,4.7
226,Tony_Hawk's_Pro_Skater_2,PS,2000,Sports,Activision,3.05,1.41,0.02,0.2,4.68
227,Animal_Crossing:_City_Folk,Wii,2008,Simulation,Nintendo,1.87,1.12,1.32,0.37,4.68
228,The_Lord_of_the_Rings:_The_Two_Towers,PS2,2002,Action,Electronic_Arts,1.94,1.95,0.08,0.7,4.67
229,Forza_Motorsport_4,X360,2011,Racing,Microsoft_Game_Studios,2.08,2.04,0.06,0.47,4.64
230,Tomb_Raider,PS,1996,Action,Eidos_Interactive,2.29,1.97,0.13,0.24,4.63
231,Guitar_Hero_III:_Legends_of_Rock,Wii,2007,Misc,Activision,3.06,1.12,0,0.44,4.62
232,The_Legend_of_Zelda:_A_Link_to_the_Past,SNES,1991,Action,Nintendo,2.42,0.91,1.15,0.13,4.61
233,The_Legend_of_Zelda:_The_Wind_Waker,GC,2002,Action,Nintendo,2.6,0.99,0.89,0.13,4.6
234,Mario_&_Sonic_at_the_Olympic_Winter_Games,Wii,2009,Sports,Sega,1.89,1.99,0.22,0.48,4.58
235,Luigi's_Mansion:_Dark_Moon,3DS,2013,Action,Nintendo,1.78,1.39,1.1,0.3,4.58
236,Splatoon,WiiU,2015,Shooter,Nintendo,1.55,1.15,1.44,0.43,4.57
237,The_Last_of_Us,PS4,2014,Action,Sony_Computer_Entertainment,1.78,1.87,0.07,0.82,4.55
238,Guitar_Hero_III:_Legends_of_Rock,X360,2007,Misc,Activision,3.19,0.92,0.01,0.42,4.53
239,Madden_NFL_2005,PS2,2004,Sports,Electronic_Arts,4.18,0.26,0.01,0.08,4.53
240,Pitfall!,2600,1981,Platform,Activision,4.21,0.24,0,0.05,4.5
241,Madden_NFL_07,PS2,2006,Sports,Electronic_Arts,3.63,0.24,0.01,0.61,4.49
242,Spider-Man:_The_Movie,PS2,2002,Action,Activision,2.71,1.51,0.03,0.23,4.48
243,Dragon_Quest_VII:_Warriors_of_Eden,PS,2000,Role-Playing,Enix_Corporation,0.2,0.14,4.1,0.02,4.47
244,Uncharted:_The_Nathan_Drake_Collection,PS4,2015,Action,Sony_Computer_Entertainment,1.96,1.69,0.08,0.74,4.47
245,Call_of_Duty:_Advanced_Warfare,PS3,2014,Shooter,Activision,1.54,1.94,0.19,0.77,4.45
246,God_of_War,PS2,2005,Action,Sony_Computer_Entertainment,2.71,1.29,0.02,0.43,4.45
247,Nintendo_Land,WiiU,2012,Misc,Nintendo,2.55,1.11,0.46,0.33,4.44
248,Michael_Jackson:_The_Experience,Wii,2010,Misc,Ubisoft,2.67,1.35,0.01,0.39,4.42
249,Tony_Hawk's_Pro_Skater_3,PS2,2001,Sports,Activision,2.66,1.29,0.01,0.46,4.41
250,Winning_Eleven:_Pro_Evolution_Soccer_2007,PS2,2006,Sports,Konami_Digital_Entertainment,0.1,2.39,1.05,0.86,4.39
251,The_Elder_Scrolls_IV:_Oblivion,X360,2006,Role-Playing,Take-Two_Interactive,2.82,1.05,0.13,0.4,4.39
